,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,4.3.1.3: The physical environment is monitored to detect potential unauthorised access.,Semantic,Subset of,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.4: A process is in place to correlate event information from multiple sources (e.g. networks, applications, firewalls, or endpoints).",Semantic,Intersects with,10,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,106.254
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Intermediate,4.3.1.5: A normal network activity baseline has been established.,Semantic,Equal,10,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,096.234
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Intermediate,4.3.1.6: Controls or tools (e.g. data loss prevention) are in place to detect potential unauthorised or unintentional transmissions of confidential data.,Semantic,Subset of,9,10,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PROTECT / Data Security / Protection of Data at Rest,080.188
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Intermediate,4.3.1.6: Controls or tools (e.g. data loss prevention) are in place to detect potential unauthorised or unintentional transmissions of confidential data.,Semantic,Subset of,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,099.238
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Intermediate,4.3.1.7: Security monitoring is in place for critical assets.,Semantic,Intersects with,9,10,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation,088.207
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Intermediate,4.3.1.7: Security monitoring is in place for critical assets.,Semantic,Subset of,9,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,106.253
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Advanced,"4.3.1.8: Processes and solutions which evaluates for malicious behaviour (e.g. user and entity behavioural analytics, EDR solutions, etc.) and does not rely on just signature-based technologies to track known threats are in place to enhance the effectiveness of malware detection.",Semantic,Subset of,8,10,"GV.RR-04.03: The organization integrates insider threat considerations into its human resource, risk management, and control programs to address the potential for malicious or unintentional harm by trusted employees or third parties.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",022.058
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Advanced,"4.3.1.8: Processes and solutions which evaluates for malicious behaviour (e.g. user and entity behavioural analytics, EDR solutions, etc.) and does not rely on just signature-based technologies to track known threats are in place to enhance the effectiveness of malware detection.",Semantic,Subset of,9,10,"PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,089.209
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Advanced,"4.3.1.8: Processes and solutions which evaluates for malicious behaviour (e.g. user and entity behavioural analytics, EDR solutions, etc.) and does not rely on just signature-based technologies to track known threats are in place to enhance the effectiveness of malware detection.",Semantic,Subset of,9,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,105.252
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.2 Detection and alert,Baseline,"4.3.2.1: Mechanisms (e.g. antivirus alerts, log event alerts, etc.) are in place to alert the security monitoring function and management to potential attacks.",Semantic,Subset of,8,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.2 Detection and alert,Baseline,"4.3.2.1: Mechanisms (e.g. antivirus alerts, log event alerts, etc.) are in place to alert the security monitoring function and management to potential attacks.",Semantic,Subset of,8,10,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,105.251
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.2 Detection and alert,Baseline,"4.3.2.1: Mechanisms (e.g. antivirus alerts, log event alerts, etc.) are in place to alert the security monitoring function and management to potential attacks.",Semantic,Subset of,9,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,106.254
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.2 Detection and alert,Baseline,"4.3.2.1: Mechanisms (e.g. antivirus alerts, log event alerts, etc.) are in place to alert the security monitoring function and management to potential attacks.",Semantic,Subset of,9,10,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,108.256
